str,en_US,ko_KR,vi_VN
app_ear_problem,Having trouble\nwith your ears?,귀가\n불편한가요?,Tai của bạn đang có vấn đề?
app_today_feeling,How are you\nfeeling today?,오늘 하루는\n어떤가요?,Hôm nay bạn cảm thấy như thế nào?
app_home,Home,홈,Trang chủ
app_diagnosis,Diagnosis,진단,Chẩn đoán
app_my,My,마이,Của tôi
app_coming_title,Coming soon,준비중이에요.,Sắp ra mắt
app_coming_dec,We're working on something\nthat we hope will help you.\nSee you soon!,현재 개발 진행 중이에요.\n조금만 기다려주세요.,Chúng tôi đang nghiên cứu tính năng mới và hy vọng sẽ giúp ích cho bạn.\nHẹn sớm gặp lại!
app_okey,Okay,확인,Đồng ý 
app_skin_trouble,Having trouble\nwith your skin?,피부에\n문제가 있나요?,Da của bạn đang gặp vấn đề?
app_minute,min,분,phút
app_child_trouble,Is your child\nhaving trouble?,아이가\n아픈가요?,Con của bạn đang gặp vấn đề?
app_mind_care,Let's take care\nof my mind.,내 마음을\n살펴보아요.,Hãy khiến bản thân yên tâm hơn.
app_onboarding_title_1,Welcome to MediGenie,메디지니에 오신 것을 환영해요.,Chào mừng đến với Medigene.
app_onboarding_dec_1,A safe place to store your medical data\nand receive personalized recommendations\nbased on AI-powered analysis.,의료 데이터를 안전하게 저장하고\nAI 기반 분석을 통해서 개인화된 추천을 받을 수 있는 어플입니다.,Ứng dụng có khả năng lưu trữ thông tin y tế một cách an toàn\nđưa ra đề xuất được cá nhân hóa bằng phân tích của AI.
app_onboarding_title_2,Empowering your health decisions,건강 관련 의사 결정에 힘을 실어줄게요.,Bạn được trao quyền để tự bảo vệ sức khỏe của bản thân
app_onboarding_dec_2,We empower you with the informationyou need to make informed decisionsand take control of your health.,정보에 입각한 결정을 내리고\n건강을 관리하는 데 필요한 정보를 제공합니다.,Phần mềm sẽ cung cấp thông tin thiết thực\ngiúp bạn đưa ra quyết định sáng suốt về sức khỏe.
app_consult_dec,What do you\nwant to consult?,무엇을\n상담하고 싶나요?,Vấn đề bạn cần được tư vấn?
app_choose_than,You can choose more than one.,두 개 이상 선택할 수 있습니다.,Bạn có thể chọn nhiều lựa chọn.
app_get_started,Get Started,시작하기,Bắt đầu
app_health_state,Health state,건강 상태,Tình trạng sức khỏe
app_health_management,Health management,건강관리,Chăm sóc sức khỏe
app_health_checkup,Health checkup\nrecords and data,건강검진 기록 및 데이터,Hồ sơ và dữ liệu\nvề kết quả thăm khám
app_health_info,Health Info &\nRecommendations,건강 정보 및 권장 사항,Thông tin và khuyến cáo
app_terms_agree_dec,Please agree to\nthe terms and conditions\nto use our service.,서비스 이용 약관에\n동의해 주시기 바랍니다.,Vui lòng đồng ý\nvới Điều khoản để sử dụng dịch vụ.
app_agree_below,Agree to everything below,아래의 모든 사항에 동의합니다,Tôi đồng ý với tất cả những điều dưới đây
app_14_years_re,(Required) 14 years of age or older,(필수) 만14세 이상,(Bắt buộc) trên 14 tuổi
app_terms_service_re,(Required) Terms of service,(필수) 서비스 약관,(Bắt buộc) Điều khoản dịch vụ
app_privacy_policy_re,(Required) Privacy policy,(필수) 개인 정보 보호 정책,(Bắt buộc) Chính sách bảo mật
app_agree,Agree,동의합니다,Tôi đồng ý
app_about_you,About you,당신에 대해\n알려주세요.,Thông tin của bạn
app_medications,Medications,약물,Thuốc và đơn thuốc
